id,string_key,EN,KO,ZH_CN,ZH_TW,JA,RU,ES,PT,FR,DE,TH,AR,IT,TR,ID
CS,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
int32,string(64),string(512),string(512),string(512),string(512),string(512),string(512),string(512),string(512),string(512),string(512),string(512),string(512),string(512),string(512),string(512)
PK,UQ,NN,NN,,,,,,,,,,,,,,
1,app.title,SIGNAL SORT,시그널 소트,,,,,,,,,,,,,,
2,boot.loading,Loading...,로딩 중...,,,,,,,,,,,,,,
3,boot.new_guest_session,Your previous session expired and you have been signed in as a new guest account. Link your account in Settings to keep your progress.,이전 세션이 만료되어 새 게스트 계정으로 로그인되었습니다. 설정에서 계정을 연동하면 진행 데이터를 보호할 수 있습니다.,,,,,,,,,,,,,,
4,common.btn_cancel,Cancel,취소,,,,,,,,,,,,,,
5,common.btn_confirm,Confirm,확인,,,,,,,,,,,,,,
6,common.btn_ok,OK,확인,,,,,,,,,,,,,,
7,common.btn_retry,Retry,다시 시도,,,,,,,,,,,,,,
8,common.btn_next,Next,다음,,,,,,,,,,,,,,
9,common.btn_play,Play,플레이,,,,,,,,,,,,,,
10,common.btn_close,Close,닫기,,,,,,,,,,,,,,
11,common.btn_map,Lobby,로비,,,,,,,,,,,,,,
12,common.settings,Settings,설정,,,,,,,,,,,,,,
13,common.guest,Guest,게스트,,,,,,,,,,,,,,
14,error.network_check,Check your network connection.,네트워크 연결을 확인해 주세요.,,,,,,,,,,,,,,
15,popup.network_error.title,Network Error,네트워크 오류,,,,,,,,,,,,,,
16,popup.reward.title,Reward!,보상!,,,,,,,,,,,,,,
17,popup.relogin.title,Session Expired,세션 만료,,,,,,,,,,,,,,
18,popup.relogin.btn_relogin,Re-login,다시 로그인,,,,,,,,,,,,,,
19,popup.relogin.btn_guest,Continue as Guest,게스트로 계속,,,,,,,,,,,,,,
20,popup.result.title,Stage Clear!,스테이지 클리어!,,,,,,,,,,,,,,
21,popup.stuck.title,Stuck Detected,교착 상태,,,,,,,,,,,,,,
22,popup.stuck.body,No valid chip moves remain.,더 이상 유효한 칩 이동이 없습니다.,,,,,,,,,,,,,,
23,popup.fail.btn_forfeit,Give Up,포기,,,,,,,,,,,,,,
24,popup.pause.title,Paused,일시정지,,,,,,,,,,,,,,
25,popup.pause.btn_resume,Resume,재개,,,,,,,,,,,,,,
26,popup.pause.btn_restart,Restart,처음부터,,,,,,,,,,,,,,
27,popup.pause.btn_stage_select,Stage Select,스테이지 선택,,,,,,,,,,,,,,
28,popup.settings.bgm,BGM,배경음악,,,,,,,,,,,,,,
29,popup.settings.sfx,SFX,효과음,,,,,,,,,,,,,,
30,popup.settings.screen_shake,Screen Shake,화면 흔들림,,,,,,,,,,,,,,
31,popup.settings.account,Account →,계정 →,,,,,,,,,,,,,,
32,popup.account.btn_link,Link Account,계정 연동,,,,,,,,,,,,,,
33,popup.account.btn_switch,Switch Account,계정 전환,,,,,,,,,,,,,,
34,popup.account_restart.title,Game Restart Required,게임 재시작 필요,,,,,,,,,,,,,,
35,popup.account_restart.body,Account changes have been applied. The game will now restart.,계정 변경사항이 적용되었습니다. 게임을 재시작합니다.,,,,,,,,,,,,,,
36,popup.account_restart.confirm,Restart,재시작,,,,,,,,,,,,,,
37,popup.account_conflict.title,Account Data Conflict,계정 데이터 충돌,,,,,,,,,,,,,,
38,popup.account_conflict.body,Your device data and Google account data differ. Choose which data to keep.,현재 기기 데이터와 Google 계정 데이터가 다릅니다. 유지할 데이터를 선택하세요.,,,,,,,,,,,,,,
39,popup.account_conflict.local_label,Current Data,현재 데이터,,,,,,,,,,,,,,
40,popup.account_conflict.cloud_label,Google Account Data,Google 계정 데이터,,,,,,,,,,,,,,
41,popup.account_conflict.stage_fmt,Stage {0},스테이지 {0},,,,,,,,,,,,,,
42,popup.account_conflict.gold_fmt,Gold: {0},골드: {0},,,,,,,,,,,,,,
43,popup.account_conflict.stars_fmt,★ {0},★ {0},,,,,,,,,,,,,,
44,popup.account_conflict.items_fmt,Items: {0},아이템: {0},,,,,,,,,,,,,,
45,popup.account_conflict.btn_keep_local,Keep Current,현재 유지,,,,,,,,,,,,,,
46,popup.account_conflict.btn_keep_cloud,Use Google Data,Google 데이터 사용,,,,,,,,,,,,,,
47,toast.account_already_active,This account is already active.,이미 활성화된 계정입니다.,,,,,,,,,,,,,,
48,popup.stage_info.title,Stage {0},스테이지 {0},,,,,,,,,,,,,,
49,popup.stage_info.best_stars,Best: {0} Stars,최고 기록: 별 {0}개,,,,,,,,,,,,,,
50,popup.stage_info.best_moves,Best: {0} Moves,최고 기록: {0} 이동,,,,,,,,,,,,,,
51,popup.stage_info.no_record,No Record,기록 없음,,,,,,,,,,,,,,
52,popup.stage_info.owned_items,Owned Items,보유 아이템,,,,,,,,,,,,,,
53,popup.stage_info.item_count_fmt,×{0},×{0},,,,,,,,,,,,,,
54,popup.result.failed,Stage Failed,스테이지 실패,,,,,,,,,,,,,,
55,popup.result.clear_title,Stage {0} Clear!,스테이지 {0} 클리어!,,,,,,,,,,,,,,
56,popup.result.moves,Moves: {0},이동: {0},,,,,,,,,,,,,,
57,popup.result.best_moves,Best Moves: {0},최고 이동: {0},,,,,,,,,,,,,,
58,popup.result.rank,Stage Rank: #{0},스테이지 순위: #{0},,,,,,,,,,,,,,
59,popup.result.new_best,New Best,최고 기록 달성,,,,,,,,,,,,,,
60,popup.stuck.btn_add_lane_ad,Watch Ad: Add Lane,광고 보기: 레인 추가,,,,,,,,,,,,,,
61,lobby.ranking.stars_title,Star Ranking,스타 랭킹,,,,,,,,,,,,,,
62,lobby.ranking.stage_title,Max Stage Ranking,최고 스테이지 랭킹,,,,,,,,,,,,,,
